emp_id,name,age,department,salary
1,Tara Patel,18,Finance,114561.49
2,Akanksha Khatri,29,Engineering,58738.87
3,Rohit Jain,50,Engineering,20927.66
4,Sanjay Khatri,47,Engineering,35786.03
5,Tara Raina,35,Marketing,172613.37
6,Rohit Khatri,53,Support,130756.19
7,Kavish Raina,53,Engineering,70714.6
8,Akanksha Patel,50,Marketing,156346.18
9,Agnijeet Patel,43,Engineering,62686.27
10,Akanksha Patel,48,HR,174439.27
11,Rina Sharma,54,HR,178842.14
12,Agnijeet Patel,49,Engineering,130471.38
13,Kavish Paraswar,61,Support,125116.43
14,Rohit Kamble,25,HR,44500.77
15,Rohit Kamble,53,HR,39846.71
16,Kriti Jain,38,Finance,163374.15
17,Rina Jain,63,HR,63066.1
18,Kavish Raina,56,Sales,119035.62
19,Kavish Jain,47,Engineering,124449.86
20,Tara Sharma,63,Support,115071.65
21,Rina Jain,23,Sales,173169.77
22,Rohit Paraswar,26,Sales,75151.92
23,Agnijeet Desai,48,Support,28660.72
24,Amit Desai,32,Finance,149988.19
25,Amit Raina,49,Marketing,30110.41
26,Tara Khatri,26,HR,58740.42
27,Akanksha Kamble,47,Support,124465.22
28,Rohit Kamble,45,HR,151762.73
29,Akanksha Sharma,31,Marketing,131389.77
30,Amit Jain,44,Marketing,191568.59
31,Akanksha Sharma,22,Support,77597.65
32,Sanjay Raina,39,Support,179818.9
33,Tara Sharma,33,Marketing,122134.55
34,Sanjay Kamble,20,Finance,95977.26
35,Amit Jain,25,Sales,111759.42
36,Kriti Sharma,58,HR,60181.4
37,Agnijeet Raina,24,Engineering,96168.77
38,Rina Khatri,59,HR,61530.22
39,Rohit Desai,54,Engineering,25095.17
40,Rohit Patel,27,Marketing,37082.49
41,Kriti Sharma,62,Finance,115730.61
42,Sanjay Patel,41,HR,31461.57
43,Kriti Jain,64,HR,54459.74
44,Kriti Raina,47,Engineering,64039.85
45,Rohit Khatri,31,HR,108535.51
46,Amit Kamble,58,Finance,129141.94
47,Rina Raina,40,Sales,130361.83
48,Vaidehi Desai,63,Engineering,81041.87
49,Vaidehi Jain,64,Support,167035.31
50,Agnijeet Sharma,29,Sales,130764.46
51,Rohit Sharma,26,Finance,109848.55
52,Tara Desai,25,Sales,29127.33
53,Sanjay Jain,24,Finance,53663.41
54,Rohit Patel,28,HR,101076.34
55,Rohit Raina,49,Finance,185072.88
56,Agnijeet Khatri,26,Engineering,134624.51
57,Vaidehi Kamble,31,Marketing,52051.25
58,Amit Kamble,59,Engineering,160131.53
59,Kriti Jain,55,Marketing,25559.31
60,Amit Khatri,40,Marketing,24147.95
61,Kavish Khatri,18,Finance,47035.55
